Study Accession	Suppl Concept	Modifier	Disease Background/Stratification, Phenotype/Biomarker, Treatment Response/Side_Effect or Interactions
GCST008686		interaction, biomarker	smoking status (current vs non), ldl
GCST008687		interaction, biomarker	smoking status (current vs non), ldl
GCST008688		background, biomarker	current smokers, ldl
GCST008689		background, biomarker	non smokers, ldl
GCST008690		interaction, biomarker	smoking status (ever vs never), ldl
GCST008691		interaction, biomarker	smoking status (ever vs never), ldl
GCST008692		background, biomarker	ever smokers, ldl
GCST008693		background, biomarker	never smokers, ldl
GCST008694		interaction, biomarker	smoking (current vs non-current), triglyceride
GCST008695		interaction, biomarker	smoking (current vs non-current), triglyceride
GCST008696		background, biomarker	smoking, triglyceride
GCST008697		background, biomarker	smoking, triglyceride
GCST008698		interaction, biomarker	smoking (ever vs never), triglyceride
GCST008699		interaction, biomarker	smoking (ever vs never), triglyceride
GCST008700		background, biomarker	smoking, triglyceride
GCST008701		background, biomarker	smoking, triglyceride
GCST008702		biomarker	triglyceride
GCST008703		phenotype	occipital lobe volume
GCST008704		phenotype	parietal lobe volume
GCST008705		phenotype	temporal lobe volume
GCST008706		biomarker	trem2, soluble, csf
GCST008707		phenotype	occipital lobe volume
GCST008709		biomarker	pepsinogen-i measurement
GCST008710		phenotype	parietal lobe volume
GCST008711		phenotype	temporal lobe volume
GCST008712		biomarker	pepsinogen i/ii ratio
GCST008713		phenotype	severe
GCST008715		phenotype	frontal lobe volume
GCST008716		phenotype	seropositive for helicobacter pylori
GCST008717		phenotype	frontal lobe volume
GCST008718		pleiotropy	follicular lymphoma
GCST008719		phenotype	follicular lymphoma
GCST008720		phenotype	follicular lymphoma or systemic lupus erythematosus
GCST008721		pleiotropy	chronic lymphocytic leukemia
GCST008722		pleiotropy	diffuse large b-cell lymphoma
GCST008723		pleiotropy	marginal zone lymphoma
GCST008724		phenotype	chronic lymphocytic leukemia
GCST008725		pleiotropy	rheumatoid arthritis
GCST008726		phenotype	marginal zone lymphoma
GCST008727		phenotype	chronic lymphocytic leukemia or systemic lupus erythematosus
GCST008728		pleiotropy	systemic lupus erythematosus
GCST008729		pleiotropy	systemic lupus erythematosus
GCST008733			bmi adjusted
GCST008735		response	beta blocker, diastolic blood pressure
GCST008736		response	beta blocker
GCST008738		phenotype	accomodative
GCST008741		phenotype	non-accomodative esotropia
GCST008742		phenotype	visceral adipose tissue
GCST008743		phenotype	visceral adipose tissue
GCST008744		phenotype	visceral adipose tissue
GCST008745		background, biomarker	non-diabetics, glomerular filtration rate
GCST008746		background, biomarker	diabetes, glomerular filtration rate
GCST008747		biomarker	glomerular filtration rate
GCST008748		phenotype	epigenetic age acceleration
GCST008752		phenotype	post-term birth
GCST008753		phenotype	early spontaneous
GCST008754		phenotype	spontaneous
GCST008755		response	phenylephrine
GCST008756		drug metabolism, biomarker	cisplatin, platinum
GCST008758		phenotype	pre-treatment viral load
GCST008759		phenotype	intake of total sugars
GCST008760		phenotype	perceived sweetness of sucrose
GCST008761		phenotype	sucrose liking
GCST008762		phenotype	intake of sweets
GCST008763		phenotype	perceived intensity of fructose
GCST008764		phenotype	perceived intensity of neohesperidin dihydrochalcone
GCST008765		phenotype	perceived intensity of aspartame
GCST008766		phenotype	perceived intensity of sweet substances
GCST008767		phenotype	perceived intensity of sucrose
GCST008768		phenotype	perceived intensity of sweet substances
GCST008769		phenotype	perceived intensity of glucose
GCST008770		phenotype	sleep duration
GCST008771		phenotype	age
GCST008773		pleiotropy	birth weight
GCST008774		pleiotropy	birth weight
GCST008775		pleiotropy	birth weight
GCST008776		pleiotropy	birth weight
GCST008777		pleiotropy, biomarker	birth weight, fasting glucose
GCST008778		pleiotropy, biomarker	birth weight
GCST008779		pleiotropy, biomarker	birth weight, glycated hemoglobin levels
GCST008780		pleiotropy, phenotype	birth weight, insulin secretion rate
GCST008781		pleiotropy, phenotype	birth weight, insulin sensitivity
GCST008782		pleiotropy	birth weight
GCST008783		pleiotropy	birth weight
GCST008784		pleiotropy, biomarker	birth weight, ldl
GCST008785		pleiotropy, biomarker	birth weight, hdl
GCST008786		pleiotropy, biomarker	birth weight, total cholesterol
GCST008787		pleiotropy	birth weight, triglyceride
GCST008790		biomarker	urinary albumin to creatinine ratio
GCST008791		phenotype	microalbuminuria
GCST008792		biomarker	urinary albumin-to-creatinine ratio
GCST008793		biomarker	urinary albumin to creatinine ratio
GCST008794		biomarker	urinary albumin to creatinine ratio
GCST008795		phenotype	differential aging in older adults (frontal cortex)
GCST008796		phenotype	differential aging in younger adults (frontal cortex)
GCST008797		phenotype	differential aging (cerebellum)
GCST008798		phenotype	differential aging in older adults (cerebellum)
GCST008799		phenotype	differential aging (frontal cortex)
GCST008800		phenotype	differential aging (frontal cortex)
GCST008801		response	thiopurine-induced myelosuppression in inflammatory bowel disease
GCST008802		phenotype	age of initiation
GCST008803		phenotype	cigarette pack-years
GCST008804		phenotype	cigarettes smoked per day
GCST008805		phenotype	drinks per week
GCST008806		phenotype	age of initiation (ever regular vs never regular)
GCST008807		phenotype	age of initiation
GCST008808		phenotype	cigarette pack-years
GCST008809		phenotype	cigarettes smoked per day
GCST008810		phenotype	age of initiation (ever regular vs never regular)
GCST008811		phenotype	drinks per week
GCST008817		biomarker	bilirubin
GCST008818		phenotype	left-handed vs. non-left-handed
GCST008819		phenotype	left-handed vs. right-handed
GCST008820		phenotype	non-right-handed vs right-handed
GCST008821		biomarker	neurofibrillary tangles
GCST008824		phenotype	subscapular skin fold thickness
GCST008830		biomarker	neurofibrillary tangles
GCST008831		pleiotropy	esophageal adenocarcinoma
GCST008835		phenotype	squamous
GCST008837		biomarker	glomerular filtration rate
GCST008838		phenotype	time to onset
GCST008840		phenotype	depressed mood
GCST008841		phenotype	sleep problems
GCST008842		phenotype	fatigue
GCST008843		phenotype	appetite changes
GCST008844		phenotype	low self-esteem
GCST008845		phenotype	concentration problems
GCST008846		phenotype	psychomotor changes
GCST008850		phenotype	sleep problems
GCST008851		phenotype	fatigue
GCST008852		phenotype	appetite changes
GCST008853		phenotype	low self-esteem
GCST008854		phenotype	concentration problems
GCST008855		phenotype	psychomotor changes
GCST008857		phenotype	anhedonia (ordinal trait)
GCST008858		phenotype	depressed mood
GCST008859		phenotype	anhedonia (binary trait)
GCST008861		phenotype	general cognitive ability
GCST008862		biomarker	triacylglycerol 56:6
GCST008863		biomarker	malate
GCST008864		biomarker	niacinamide
GCST008865		biomarker	sphingomyelin 24:0
GCST008866		biomarker	triacylglycerol 56:2
GCST008867		biomarker	tyrosine
GCST008868		biomarker	xanthine
GCST008869		biomarker	metabolite risk score for predicting weight gain
GCST008870		phenotype	keratinocyte cancer
GCST008873		phenotype	non-lobar
GCST008874		phenotype	lobar intracerebral hemorrhage
GCST008876		phenotype	non-lobar
GCST008877		phenotype	lobar intracerebral hemorrhage
GCST008879		biomarker	17-hydroxyprogesterone (17-ohp) levels
GCST008880		biomarker	aldosterone
GCST008881		biomarker	estradiol
GCST008882		biomarker	cortisol levels (plasma)
GCST008883		biomarker	dehydroepiandrosterone sulphate
GCST008884		biomarker	testosterone
GCST008885		biomarker	progesterone
GCST008886		biomarker	androstenedione
GCST008887		phenotype	systemising
GCST008888		phenotype	systemising
GCST008889		phenotype	systemising
GCST008890		phenotype	social and communication disorders checklist score
GCST008891		phenotype	information processing speed
GCST008894		biomarker	uridine
GCST008895		phenotype	psychotic experience
GCST008896		phenotype	psychotic experience (distressing)
GCST008897		phenotype	psychotic experience (multiple occurrences)
GCST008898		phenotype	adult hearing aid use
GCST008899		phenotype	age-related hearing impairment
GCST008900		phenotype	gut microbiota (alpha diversity)
GCST008901		phenotype	gut microbiota (beta diversity)
GCST008902		phenotype	gut microbiota (bacterial taxa)
GCST008903		phenotype	gut microbiota relative abundance (bacterial taxa)
GCST008907		pleiotropy	brain region volumes
GCST008908		pleiotropy, phenotype	subcortical volume measurements, social disinhibition
GCST008909		pleiotropy, phenotype	subcortical volume measurements, symmetry behavior
GCST008910		pleiotropy	multiple
GCST008912		phenotype	pediatric/youth onset
GCST008913		phenotype	idiopathic osteonecrosis
GCST008915		background	ischemic stroke
GCST008917		phenotype	childhood onset
GCST008918		phenotype	adult onset
GCST008919		phenotype	asthma and attention deficit hyperactivity disorder
GCST008920		phenotype	asthma and anxiety disorder
GCST008921		background	major depressive disorder
GCST008922		biomarker	triglyceride
GCST008923		biomarker	ceramide
GCST008924		biomarker	diglyceride
GCST008925		biomarker	lysophosphatidylcholine
GCST008926		biomarker	lysophosphatidylethanolamine
GCST008927		biomarker	phosphatidylcholine
GCST008928		biomarker	phosphatidylcholine ether
GCST008929		biomarker	phosphatidylethanolamine
GCST008930		biomarker	phosphatidylethanolamine ether
GCST008931		biomarker	phosphatidylinositol
GCST008932		biomarker	esterified cholesterol
GCST008933		biomarker	sphingomyelin
GCST008934		biomarker	sterol
GCST008935		biomarker	ldl
GCST008936		biomarker	hdl
GCST008937		biomarker	triglyceride
GCST008938		biomarker	total cholesterol
GCST008939		background	genotoxic compound exposure
GCST008945		phenotype	genotoxic compound exposure
GCST008946		phenotype	genotoxic compound exposure
GCST008947		background	genotoxic compound exposure
GCST008948		background	genotoxic compound exposure
GCST008949		background	genotoxic compound exposure
GCST008957		biomarker	hormone
GCST008959		biomarker	lipid traits
GCST008960		biomarker	iron
GCST008961		biomarker	c-reactive protein
GCST008963		phenotype	glucose homeostasis
GCST008965		biomarker	liver disease biomarker
GCST008967		drug metabolism	tramadol metabolism
GCST008968		phenotype	clinic systolic blood pressure minus ambulatory systolic blood pressure
GCST008971		biomarker	urate
GCST008972		biomarker	urate
GCST008973		biomarker	urate
GCST008976		pleiotropy	type 2 diabetes or obesity
GCST008979		phenotype	external diameter measurement
GCST008980		phenotype	central pulse pressure measurement
GCST008981		phenotype	stiffness measurement
GCST008982		phenotype	internal diameter measurement
GCST008983		phenotype	circumferential wall stress measurement
GCST008984		phenotype	wall cross sectional area measurement
GCST008985		biomarker	triglyceride
GCST008986		phenotype	mean blood pressure measurement
GCST008987		biomarker	hdl
GCST008988		biomarker	ldl
GCST008989		phenotype	intima media thickness
GCST008990		biomarker	ldl
GCST008992		phenotype	joint damage
GCST008993		phenotype	joint damage
GCST008994			bmi adjusted
GCST008995			bmi adjusted
GCST008999			bmi adjusted
GCST009000		phenotype	seropositive for hepatitis b virus surface antigen (hbsag), viral basal core promoter double mutation
GCST009005	C562388		
GCST009006	C562388		
GCST009007		phenotype	high-grade serous
GCST009016		phenotype	t wave morphology restitution during exercise
GCST009017		phenotype	t wave morphology restitution during recovery from exercise
GCST009018		biomarker	metabolite levels
GCST009022		phenotype	clinical subgroup ad+
GCST009023		phenotype	clinical subgroup ad+
GCST009024		phenotype	clinical subgroup ad+
GCST009025		phenotype	alzheimer’s disease and/or vascular dementia (clinical subgroup vad+)
GCST009026		phenotype	alzheimer’s disease and/or vascular dementia (clinical subgroup vad++)
GCST009027		biomarker	oxytocin
GCST009028		side effect	drug
GCST009032		phenotype	red blood cell distribution width
GCST009034		biomarker	hemoglobin
GCST009035		phenotype	mean platelet volume
GCST009038		phenotype	monocyte count
GCST009040		phenotype	neutrophil count
GCST009041		phenotype	eosinophil count
GCST009042		biomarker	total cholesterol
GCST009043		biomarker	ldl
GCST009044		biomarker	hdl
GCST009045		biomarker	triglyceride
GCST009046		biomarker	aspartate aminotransferase
GCST009047		biomarker	gpt
GCST009048		biomarker	alb
GCST009049		biomarker	alkaline phosphatase
GCST009050		biomarker	gamma-glutamyl transferase
GCST009051		biomarker	bilirubin
GCST009054		biomarker	hemoglobin a1c levels
GCST009059		phenotype	hip circumference
GCST009063		phenotype	mean corpuscular hemoglobin
